script_id,show_name,label,outcome,human_score,notes
10_Things_I_Hate_About_You_1x01_-_Pilot,10 Things I Hate About You,winner,1,8.5,ABC sitcom - ran 3 seasons
30_Rock_Pilot,30 Rock,winner,1,9.0,NBC comedy - major critical success
Friends-Pilot,Friends,winner,1,9.5,NBC sitcom - cultural phenomenon
ER-1x01-Pilot,ER,winner,1,9.0,NBC drama - massive success
The_Office_Pilot,The Office,winner,1,8.5,NBC mockumentary - iconic
Game_of_Thrones_Pilot,Game of Thrones,winner,1,9.0,HBO drama - huge success
Breaking_Bad_Pilot,Breaking Bad,winner,1,9.0,AMC drama - acclaimed
The_Sopranos_Pilot,The Sopranos,winner,1,9.0,HBO drama - groundbreaking
The_Simpsons_Pilot,The Simpsons,winner,1,9.0,FOX animated - longest running
Seinfeld_Pilot,Seinfeld,winner,1,8.5,NBC sitcom - huge success
